DRY_RUN_ID,CURRENT_TIMESTAMP,STEP_NAME,RESOURCE_NAME,MAX_CPU,AVG_CPU,MAX_MEM
118,2.02411E+13,01-01-retrieve,cloud6,19.8,5.65714,21.875
118,2.02411E+13,01-02-prepare-and-store,cloud6,47.9,11.975,77.637
118,2.02411E+13,02-01-retrieve,cloud6,96.6,37.5857,14.5
118,2.02411E+13,02-02-slice,cloud6,99.7,56.6857,79.973
118,2.02411E+13,02-03-prepare,cloud6,101.8,74.68,105.961
119,2.02411E+13,01-01-retrieve,cloud7,9.9,4.24286,15.125
119,2.02411E+13,01-02-prepare-and-store,cloud7,47.8,11.95,77.48
119,2.02411E+13,02-01-retrieve,cloud7,108.9,43.7857,23.125
119,2.02411E+13,02-02-slice,cloud7,101.7,56.6714,79.734
119,2.02411E+13,02-03-prepare,cloud7,101.7,75.1754,105.879
120,2.02411E+13,01-01-retrieve,cloud8,19.8,4.24286,14.625
120,2.02411E+13,01-02-prepare-and-store,cloud8,55.8,13.95,77.781
120,2.02411E+13,02-01-retrieve,cloud8,98.8,31.2667,14.25
120,2.02411E+13,02-02-slice,cloud8,101.7,56.6857,79.613
120,2.02411E+13,02-03-prepare,cloud8,101.7,75.2938,105.781
121,2.02411E+13,01-01-retrieve,fog2,9.9,3.3,14.875
121,2.02411E+13,01-02-prepare-and-store,fog2,23.9,5.975,77.973
121,2.02411E+13,02-01-retrieve,fog2,29.7,13.8467,14.25
121,2.02411E+13,02-02-slice,fog2,99.8,49.8667,81.414
121,2.02411E+13,02-03-prepare,fog2,101.8,72.3017,106.145
122,2.02411E+13,01-01-retrieve,fog3,9.9,3.3,15.125
122,2.02411E+13,01-02-prepare-and-store,fog3,19.9,4.975,77.93
122,2.02411E+13,02-01-retrieve,fog3,29.7,12.5333,14.25
122,2.02411E+13,02-02-slice,fog3,101.7,49.8667,80.738
122,2.02411E+13,02-03-prepare,fog3,119.7,73.8203,105.816
123,2.02411E+13,01-01-retrieve,cloud1,9.9,2.82857,20.875
123,2.02411E+13,01-02-prepare-and-store,cloud1,33.9,8.475,77.824
123,2.02411E+13,02-01-retrieve,cloud1,98.9,31.2833,14.875
123,2.02411E+13,02-02-slice,cloud1,101.6,49.8,80.992
123,2.02411E+13,02-03-prepare,cloud1,101.7,75.9957,105.816
124,2.02411E+13,01-01-retrieve,cloud2,9.9,2.82857,21.875
124,2.02411E+13,01-02-prepare-and-store,cloud2,25.9,6.475,77.863
124,2.02411E+13,02-01-retrieve,cloud2,98.7,31.2833,12.875
124,2.02411E+13,02-02-slice,cloud2,101.6,56.9286,82.027
124,2.02411E+13,02-03-prepare,cloud2,101.7,77.3028,105.602
125,2.02411E+13,01-01-retrieve,cloud3,9.9,2.82857,22.625
125,2.02411E+13,01-02-prepare-and-store,cloud3,57.6,11.52,78.035
125,2.02411E+13,02-01-retrieve,cloud3,106.6,41.6571,14.625
125,2.02411E+13,02-02-slice,cloud3,101.6,56.9143,80.621
125,2.02411E+13,02-03-prepare,cloud3,101.7,76.2014,106.445
126,2.02411E+13,01-01-retrieve,cloud4,9.9,3.3,15.125
126,2.02411E+13,01-02-prepare-and-store,cloud4,31.9,7.975,77.926
126,2.02411E+13,02-01-retrieve,cloud4,98.8,32.25,14.75
126,2.02411E+13,02-02-slice,cloud4,99.7,56.6714,80.762
126,2.02411E+13,02-03-prepare,cloud4,101.7,75.0182,105.863
127,2.02411E+13,01-01-retrieve,cloud5,19.8,5.65714,15.25
127,2.02411E+13,01-02-prepare-and-store,cloud5,41.9,10.475,77.918
127,2.02411E+13,02-01-retrieve,cloud5,88.7,40.65,20.5
127,2.02411E+13,02-02-slice,cloud5,101.6,56.6571,81.203
127,2.02411E+13,02-03-prepare,cloud5,101.7,75.8159,106.023
128,2.02411E+13,01-01-retrieve,cloud6,9.9,4.24286,11
128,2.02411E+13,01-02-prepare-and-store,cloud6,35.9,8.975,77.852
128,2.02411E+13,02-01-retrieve,cloud6,100.8,46,22.25
128,2.02411E+13,02-02-slice,cloud6,101.7,56.9714,81.07
128,2.02411E+13,02-03-prepare,cloud6,101.7,75.8449,105.648
129,2.02411E+13,01-01-retrieve,cloud7,9.9,4.24286,9.25
129,2.02411E+13,01-02-prepare-and-store,cloud7,39.9,9.975,77.781
129,2.02411E+13,02-01-retrieve,cloud7,109,42.2429,9.75
129,2.02411E+13,02-02-slice,cloud7,101.6,56.6714,81.68
129,2.02411E+13,02-03-prepare,cloud7,101.7,75.7014,105.578
130,2.02411E+13,01-01-retrieve,cloud8,9.9,4.24286,20.625
130,2.02411E+13,01-02-prepare-and-store,cloud8,37.9,9.475,77.898
130,2.02411E+13,02-01-retrieve,cloud8,98.5,32.8333,14.375
